Rank,Player.Name,Tier,Position,Best.Rank,Worst.Rank,Avg.Rank,Std.Dev,scoring_format,date_scraped
46,Joe Burrow,7,QB,22,71,47.67,9.79,Half PPR,2025-09-03
47,DK Metcalf,7,WR,31,93,47.69,10.0,Half PPR,2025-09-03
48,TreVeyon Henderson,7,RB,24,72,48.48,9.85,Half PPR,2025-09-03
49,Chuba Hubbard,7,RB,30,66,48.79,7.09,Half PPR,2025-09-03
50,James Conner,7,RB,35,67,49.82,6.57,Half PPR,2025-09-03
51,Tetairoa McMillan,8,WR,31,91,51.88,13.6,Half PPR,2025-09-03
52,DeVonta Smith,8,WR,38,87,52.54,9.21,Half PPR,2025-09-03
53,Jameson Williams,8,WR,37,89,55.63,11.05,Half PPR,2025-09-03
54,Xavier Worthy,8,WR,33,91,55.89,12.31,Half PPR,2025-09-03
55,Calvin Ridley,8,WR,32,87,57.05,11.1,Half PPR,2025-09-03
56,George Pickens,9,WR,33,87,58.63,12.82,Half PPR,2025-09-03
57,Tony Pollard,9,RB,43,93,59.39,7.73,Half PPR,2025-09-03
58,Zay Flowers,9,WR,43,101,60.27,12.09,Half PPR,2025-09-03
59,D'Andre Swift,9,RB,37,92,60.28,10.18,Half PPR,2025-09-03
60,Jaylen Waddle,9,WR,38,101,61.21,12.89,Half PPR,2025-09-03
61,RJ Harvey,9,RB,33,106,61.25,12.05,Half PPR,2025-09-03
62,David Montgomery,9,RB,49,85,61.71,6.75,Half PPR,2025-09-03
63,Isiah Pacheco,9,RB,38,114,63.48,10.37,Half PPR,2025-09-03
64,Sam LaPorta,9,TE,47,96,64.63,10.44,Half PPR,2025-09-03
65,Aaron Jones Sr.,10,RB,52,88,67.21,6.81,Half PPR,2025-09-03
66,Patrick Mahomes II,10,QB,40,97,67.46,11.84,Half PPR,2025-09-03
67,Travis Hunter,10,WR,39,111,70.85,14.25,Half PPR,2025-09-03
68,T.J. Hockenson,11,TE,53,105,71.97,12.05,Half PPR,2025-09-03
69,Chris Olave,11,WR,46,120,73.74,11.24,Half PPR,2025-09-03
70,Baker Mayfield,11,QB,47,118,73.93,15.57,Half PPR,2025-09-03
71,Rome Odunze,11,WR,46,115,75.95,13.14,Half PPR,2025-09-03
72,Rashee Rice,11,WR,32,136,76.65,23.01,Half PPR,2025-09-03
73,Tyrone Tracy Jr.,11,RB,57,119,77.34,10.63,Half PPR,2025-09-03
74,Bo Nix,11,QB,53,119,77.39,14.33,Half PPR,2025-09-03
75,Jerry Jeudy,11,WR,54,115,78.2,12.44,Half PPR,2025-09-03
76,Ricky Pearsall,11,WR,41,136,79.02,17.86,Half PPR,2025-09-03
77,Emeka Egbuka,12,WR,31,139,80.56,21.64,Half PPR,2025-09-03
78,Kaleb Johnson,12,RB,56,154,81.53,19.38,Half PPR,2025-09-03
79,Jaylen Warren,12,RB,56,134,82.3,13.59,Half PPR,2025-09-03
80,Travis Kelce,12,TE,56,117,82.59,11.17,Half PPR,2025-09-03
81,Mark Andrews,12,TE,55,126,84.05,12.36,Half PPR,2025-09-03
82,Kyler Murray,12,QB,54,120,84.84,16.24,Half PPR,2025-09-03
83,Stefon Diggs,12,WR,50,132,85.75,14.88,Half PPR,2025-09-03
84,Dak Prescott,13,QB,58,141,88.17,18.19,Half PPR,2025-09-03
85,Jakobi Meyers,13,WR,59,127,90.21,14.5,Half PPR,2025-09-03
86,David Njoku,13,TE,56,121,90.29,12.5,Half PPR,2025-09-03
87,Jordan Mason,13,RB,66,152,90.89,18.12,Half PPR,2025-09-03
88,Travis Etienne Jr.,13,RB,57,137,91.73,16.45,Half PPR,2025-09-03
89,Deebo Samuel Sr.,13,WR,53,135,92.67,15.42,Half PPR,2025-09-03
90,Evan Engram,13,TE,58,143,93.41,15.47,Half PPR,2025-09-03
91,Jordan Addison,13,WR,59,135,93.93,15.85,Half PPR,2025-09-03
92,Zach Charbonnet,13,RB,67,145,94.51,15.08,Half PPR,2025-09-03
93,Brock Purdy,13,QB,62,142,95.07,16.51,Half PPR,2025-09-03
94,Justin Fields,14,QB,68,178,97.35,19.61,Half PPR,2025-09-03
95,Jauan Jennings,14,WR,68,162,98.71,16.3,Half PPR,2025-09-03
96,Matthew Golden,14,WR,61,177,99.52,24.57,Half PPR,2025-09-03
97,Tucker Kraft,14,TE,73,224,100.17,15.52,Half PPR,2025-09-03
98,Javonte Williams,14,RB,66,159,100.21,17.55,Half PPR,2025-09-03
99,Justin Herbert,14,QB,62,139,101.88,15.51,Half PPR,2025-09-03
100,Tyler Warren,14,TE,76,157,102.21,14.82,Half PPR,2025-09-03
101,Drake Maye,14,QB,69,161,103.5,15.88,Half PPR,2025-09-03
102,Caleb Williams,14,QB,62,147,103.95,16.54,Half PPR,2025-09-03
103,Khalil Shakir,14,WR,76,132,104.1,13.24,Half PPR,2025-09-03
104,J.K. Dobbins,14,RB,71,265,105.14,27.22,Half PPR,2025-09-03
105,Jayden Reed,15,WR,75,164,106.82,16.09,Half PPR,2025-09-03
106,Jacory Croskey-Merritt,15,RB,64,451,107.35,47.21,Half PPR,2025-09-03
107,Josh Downs,15,WR,72,139,108.21,13.89,Half PPR,2025-09-03
108,Jared Goff,15,QB,62,159,108.51,18.48,Half PPR,2025-09-03
109,Michael Pittman Jr.,15,WR,72,165,111.27,16.99,Half PPR,2025-09-03
110,Tank Bigsby,15,RB,66,239,111.74,21.72,Half PPR,2025-09-03
111,Rhamondre Stevenson,16,RB,79,163,112.89,17.8,Half PPR,2025-09-03
112,Chris Godwin Jr.,16,WR,61,179,113.21,23.14,Half PPR,2025-09-03
113,Cooper Kupp,16,WR,73,164,113.58,15.18,Half PPR,2025-09-03
114,Jordan Love,16,QB,90,158,115.38,14.18,Half PPR,2025-09-03
115,Austin Ekeler,16,RB,78,186,117.42,22.04,Half PPR,2025-09-03
116,Trevor Lawrence,16,QB,90,161,118.24,13.1,Half PPR,2025-09-03
117,Cam Skattebo,17,RB,79,221,120.38,23.68,Half PPR,2025-09-03
118,Jake Ferguson,17,TE,84,195,120.68,20.01,Half PPR,2025-09-03
119,C.J. Stroud,17,QB,73,180,122.93,16.46,Half PPR,2025-09-03
120,J.J. McCarthy,17,QB,78,178,124.04,18.15,Half PPR,2025-09-03
121,Keon Coleman,17,WR,76,175,125.88,20.3,Half PPR,2025-09-03
122,Dalton Kincaid,17,TE,94,208,126.32,21.07,Half PPR,2025-09-03
123,Darnell Mooney,17,WR,91,173,126.75,17.28,Half PPR,2025-09-03
124,Braelon Allen,17,RB,85,233,128.38,24.48,Half PPR,2025-09-03
125,Dallas Goedert,17,TE,96,180,129.21,18.54,Half PPR,2025-09-03
126,Colston Loveland,18,TE,85,225,132.26,25.23,Half PPR,2025-09-03
127,Rashid Shaheed,18,WR,83,198,132.46,18.0,Half PPR,2025-09-03
128,Rachaad White,18,RB,88,218,131.32,22.4,Half PPR,2025-09-03
129,Joe Mixon,18,RB,49,303,136.77,53.45,Half PPR,2025-09-03
130,Trey Benson,18,RB,82,245,134.84,22.72,Half PPR,2025-09-03
131,Brandon Aiyuk,18,WR,93,216,138.78,21.26,Half PPR,2025-09-03
132,Brian Robinson Jr.,18,RB,72,295,138.81,36.92,Half PPR,2025-09-03
133,Najee Harris,18,RB,67,224,131.63,28.47,Half PPR,2025-09-03
134,Christian Kirk,18,WR,97,220,136.5,19.28,Half PPR,2025-09-03
135,Ray Davis,18,RB,98,242,136.76,17.08,Half PPR,2025-09-03
136,Quinshon Judkins,18,RB,61,310,134.05,40.77,Half PPR,2025-09-03
137,Nick Chubb,19,RB,77,309,143.9,40.04,Half PPR,2025-09-03
138,Tyjae Spears,19,RB,92,273,140.77,28.28,Half PPR,2025-09-03
139,Kyle Pitts Sr.,19,TE,105,246,141.3,24.11,Half PPR,2025-09-03
140,Jaydon Blue,19,RB,77,310,144.98,27.07,Half PPR,2025-09-03
141,Rashod Bateman,19,WR,104,194,145.11,18.4,Half PPR,2025-09-03
142,Tua Tagovailoa,19,QB,107,241,143.42,22.43,Half PPR,2025-09-03
143,Tyler Allgeier,19,RB,113,225,146.48,15.9,Half PPR,2025-09-03
144,Bhayshul Tuten,19,RB,79,327,151.01,40.6,Half PPR,2025-09-03
145,Marvin Mims Jr.,19,WR,97,246,148.36,24.34,Half PPR,2025-09-03
146,Cedric Tillman,19,WR,106,255,152.51,19.66,Half PPR,2025-09-03
147,Luther Burden III,19,WR,104,240,149.3,23.04,Half PPR,2025-09-03
148,Bryce Young,19,QB,108,257,149.58,26.17,Half PPR,2025-09-03
149,Hunter Henry,19,TE,93,225,146.16,21.26,Half PPR,2025-09-03
150,Dylan Sampson,19,RB,87,241,150.35,30.31,Half PPR,2025-09-03
151,Jerome Ford,19,RB,82,236,147.65,27.15,Half PPR,2025-09-03
152,Michael Penix Jr.,19,QB,78,331,153.06,26.94,Half PPR,2025-09-03
153,Zach Ertz,20,TE,96,252,160.88,26.91,Half PPR,2025-09-03
154,Jayden Higgins,19,WR,89,272,154.94,32.35,Half PPR,2025-09-03
155,Geno Smith,21,QB,105,300,164.71,31.68,Half PPR,2025-09-03
156,Matthew Stafford,21,QB,107,254,162.76,33.37,Half PPR,2025-09-03
157,Jonnu Smith,21,TE,96,253,162.64,31.99,Half PPR,2025-09-03
158,Romeo Doubs,21,WR,120,263,164.41,20.17,Half PPR,2025-09-03
159,Keenan Allen,19,WR,89,327,155.09,45.24,Half PPR,2025-09-03
160,Wan'Dale Robinson,21,WR,93,265,168.88,29.61,Half PPR,2025-09-03
161,Marquise Brown,21,WR,127,226,166.49,19.01,Half PPR,2025-09-03
162,Rico Dowdle,21,RB,88,271,163.34,27.49,Half PPR,2025-09-03
163,DeMario Douglas,21,WR,101,238,171.03,28.37,Half PPR,2025-09-03
164,Adam Thielen,21,WR,136,258,172.75,19.55,Half PPR,2025-09-03
165,Kyle Williams,21,WR,120,305,176.43,32.7,Half PPR,2025-09-03
166,Brenton Strange,21,TE,105,305,174.73,36.98,Half PPR,2025-09-03
167,Joshua Palmer,21,WR,114,265,176.38,30.5,Half PPR,2025-09-03
168,Cam Ward,22,QB,111,334,187.39,40.55,Half PPR,2025-09-03
169,Tre' Harris,21,WR,115,266,175.61,28.76,Half PPR,2025-09-03
170,Xavier Legette,22,WR,115,266,183.79,26.03,Half PPR,2025-09-03
171,Ollie Gordon II,22,RB,101,339,186.47,50.91,Half PPR,2025-09-03
172,Sam Darnold,22,QB,117,275,190.08,37.13,Half PPR,2025-09-03
173,Isaac Guerendo,22,RB,129,302,184.48,42.67,Half PPR,2025-09-03
174,Roschon Johnson,22,RB,140,287,187.03,36.08,Half PPR,2025-09-03
175,Jaylen Wright,22,RB,121,297,190.44,38.86,Half PPR,2025-09-03
176,Chig Okonkwo,22,TE,123,300,191.49,37.9,Half PPR,2025-09-03
177,Quentin Johnston,22,WR,139,269,186.1,25.78,Half PPR,2025-09-03
178,Isaiah Likely,22,TE,134,280,193.52,28.94,Half PPR,2025-09-03
179,Woody Marks,23,RB,124,326,206.22,52.23,Half PPR,2025-09-03
180,Denver Broncos,19,DST,142,289,156.95,19.15,Half PPR,2025-09-03
181,Jalen Coker,22,WR,120,268,189.43,26.77,Half PPR,2025-09-03
182,Blake Corum,22,RB,134,312,190.01,34.8,Half PPR,2025-09-03
183,Cade Otton,23,TE,110,269,204.23,31.55,Half PPR,2025-09-03
184,Philadelphia Eagles,21,DST,150,290,167.59,17.97,Half PPR,2025-09-03
185,Mike Gesicki,23,TE,111,306,202.17,30.61,Half PPR,2025-09-03
186,Pittsburgh Steelers,21,DST,147,288,171.93,16.93,Half PPR,2025-09-03
187,Baltimore Ravens,21,DST,150,291,174.2,17.06,Half PPR,2025-09-03
188,Pat Freiermuth,23,TE,143,319,209.86,30.85,Half PPR,2025-09-03
189,Minnesota Vikings,21,DST,158,296,177.59,17.04,Half PPR,2025-09-03
190,DeAndre Hopkins,23,WR,139,295,200.48,26.48,Half PPR,2025-09-03
191,Kyle Monangai,23,RB,134,359,212.93,41.02,Half PPR,2025-09-03
192,Chris Rodriguez Jr.,23,RB,129,488,230.32,66.53,Half PPR,2025-09-03
193,Will Shipley,23,RB,130,326,200.59,46.96,Half PPR,2025-09-03
194,Mason Taylor,23,TE,123,302,213.38,36.1,Half PPR,2025-09-03
195,Houston Texans,22,DST,165,293,186.86,15.62,Half PPR,2025-09-03
196,Buffalo Bills,22,DST,163,292,188.37,16.17,Half PPR,2025-09-03
197,Brandon Aubrey,22,K,154,308,189.07,15.71,Half PPR,2025-09-03
198,Kansas City Chiefs,22,DST,166,307,190.25,23.17,Half PPR,2025-09-03
199,Alec Pierce,23,WR,162,303,207.39,22.33,Half PPR,2025-09-03
200,Detroit Lions,22,DST,166,297,192.33,17.15,Half PPR,2025-09-03
