Rank,Player.Name,Tier,Position,Best.Rank,Worst.Rank,Avg.Rank,Std.Dev,scoring_format,date_scraped
1,Ja'Marr Chase,1,WR,1,4,2.05,0.37,Standard,2025-08-20
2,Bijan Robinson,1,RB,1,5,2.79,0.97,Standard,2025-08-20
3,Saquon Barkley,1,RB,1,17,3.08,4.0,Standard,2025-08-20
4,Jahmyr Gibbs,1,RB,1,12,5.18,2.39,Standard,2025-08-20
5,Justin Jefferson,1,WR,4,11,5.24,1.42,Standard,2025-08-20
6,CeeDee Lamb,1,WR,3,12,5.3,1.61,Standard,2025-08-20
7,Derrick Henry,2,RB,1,15,8.21,2.35,Standard,2025-08-20
8,Nico Collins,2,WR,6,19,9.2,3.33,Standard,2025-08-20
9,Brian Thomas Jr.,2,WR,7,19,11.07,3.64,Standard,2025-08-20
10,Malik Nabers,2,WR,6,24,11.17,3.41,Standard,2025-08-20
11,Puka Nacua,2,WR,6,21,11.42,4.05,Standard,2025-08-20
12,Amon-Ra St. Brown,2,WR,6,24,13.17,3.91,Standard,2025-08-20
13,Christian McCaffrey,2,RB,5,42,13.72,7.01,Standard,2025-08-20
14,Ashton Jeanty,2,RB,5,28,13.89,4.25,Standard,2025-08-20
15,Jonathan Taylor,3,RB,8,33,16.47,4.56,Standard,2025-08-20
16,A.J. Brown,3,WR,7,24,16.79,3.19,Standard,2025-08-20
17,Drake London,3,WR,9,35,17.23,5.17,Standard,2025-08-20
18,De'Von Achane,3,RB,5,42,17.55,5.66,Standard,2025-08-20
19,Josh Jacobs,3,RB,8,33,19.16,5.26,Standard,2025-08-20
20,Brock Bowers,3,TE,16,86,21.57,9.97,Standard,2025-08-20
21,George Kittle,3,TE,16,60,21.8,8.0,Standard,2025-08-20
22,Ladd McConkey,4,WR,14,35,23.18,5.02,Standard,2025-08-20
23,Bucky Irving,4,RB,12,42,24.18,6.42,Standard,2025-08-20
24,Kyren Williams,4,RB,15,40,24.83,5.91,Standard,2025-08-20
25,Josh Allen,4,QB,23,36,26.08,1.93,Standard,2025-08-20
26,Lamar Jackson,4,QB,25,36,26.7,1.89,Standard,2025-08-20
27,Mike Evans,4,WR,18,46,28.07,5.99,Standard,2025-08-20
28,Tee Higgins,4,WR,19,48,28.34,6.92,Standard,2025-08-20
29,Chase Brown,4,RB,15,47,28.53,6.38,Standard,2025-08-20
30,Tyreek Hill,5,WR,14,50,32.48,7.57,Standard,2025-08-20
31,Trey McBride,5,TE,16,56,32.85,7.49,Standard,2025-08-20
32,Jaxon Smith-Njigba,5,WR,21,61,33.59,8.27,Standard,2025-08-20
33,Jayden Daniels,5,QB,27,58,33.78,8.1,Standard,2025-08-20
34,James Cook,5,RB,19,49,34.37,5.43,Standard,2025-08-20
35,Davante Adams,5,WR,21,59,35.72,6.6,Standard,2025-08-20
36,Jalen Hurts,5,QB,27,58,36.67,8.48,Standard,2025-08-20
37,Garrett Wilson,6,WR,24,51,39.3,4.68,Standard,2025-08-20
38,Marvin Harrison Jr.,6,WR,21,75,40.11,9.44,Standard,2025-08-20
39,Omarion Hampton,6,RB,19,148,40.42,15.32,Standard,2025-08-20
40,Kenneth Walker III,6,RB,28,55,40.47,5.8,Standard,2025-08-20
41,Breece Hall,6,RB,28,60,42.11,7.82,Standard,2025-08-20
42,Terry McLaurin,6,WR,24,81,42.15,10.73,Standard,2025-08-20
43,DK Metcalf,7,WR,26,83,45.72,10.23,Standard,2025-08-20
44,Chuba Hubbard,7,RB,37,63,46.97,5.86,Standard,2025-08-20
45,Joe Burrow,7,QB,29,58,47.47,8.61,Standard,2025-08-20
46,James Conner,7,RB,25,64,47.98,7.31,Standard,2025-08-20
47,Jameson Williams,7,WR,26,81,48.22,9.7,Standard,2025-08-20
48,Alvin Kamara,7,RB,30,64,48.7,6.64,Standard,2025-08-20
49,DJ Moore,7,WR,31,80,48.99,8.54,Standard,2025-08-20
50,Courtland Sutton,7,WR,31,75,50.1,9.33,Standard,2025-08-20
51,TreVeyon Henderson,8,RB,37,117,54.08,14.07,Standard,2025-08-20
52,Xavier Worthy,8,WR,31,93,54.46,12.01,Standard,2025-08-20
53,Zay Flowers,8,WR,38,88,56.08,11.41,Standard,2025-08-20
54,David Montgomery,9,RB,39,72,57.34,6.73,Standard,2025-08-20
55,DeVonta Smith,9,WR,35,89,57.64,10.33,Standard,2025-08-20
56,George Pickens,9,WR,26,88,58.13,11.43,Standard,2025-08-20
57,Calvin Ridley,9,WR,39,89,58.46,11.3,Standard,2025-08-20
