rank,player_name,team,position,adp,seven_day_change,date_scraped
1,Ja'Marr Chase,Cin,WR,1.6,0.0,2025-08-20
2,Bijan Robinson,Atl,RB,3.0,0.2,2025-08-20
3,Saquon Barkley,Phi,RB,3.6,-0.1,2025-08-20
4,Justin Jefferson,Q,Min,4.8,-0.1,2025-08-20
5,Jahmyr Gibbs,Det,RB,5.4,0.1,2025-08-20
6,CeeDee Lamb,Dal,WR,6.9,0.1,2025-08-20
7,Christian McCaffrey,SF,RB,8.1,0.3,2025-08-20
8,Puka Nacua,LAR,WR,10.3,-0.2,2025-08-20
9,Amon-Ra St. Brown,Det,WR,10.4,0.1,2025-08-20
10,Malik Nabers,Q,NYG,11.8,0.0,2025-08-20
11,Ashton Jeanty,LV,RB,13.0,0.7,2025-08-20
12,Derrick Henry,Bal,RB,15.3,0.1,2025-08-20
13,Nico Collins,Hou,WR,15.6,0.5,2025-08-20
14,De'Von Achane,Q,Mia,15.6,-1.2,2025-08-20
15,Brian Thomas Jr.,Jax,WR,18.8,0.2,2025-08-20
16,Jonathan Taylor,Ind,RB,19.1,0.6,2025-08-20
17,A.J. Brown,Q,Phi,19.1,-0.3,2025-08-20
18,Josh Jacobs,GB,RB,20.1,0.4,2025-08-20
19,Brock Bowers,LV,TE,20.8,0.0,2025-08-20
20,Josh Allen,Buf,QB,21.0,0.0,2025-08-20
21,Drake London,Atl,WR,22.1,0.4,2025-08-20
22,Lamar Jackson,Q,Bal,22.4,-0.4,2025-08-20
23,Bucky Irving,TB,RB,24.8,0.4,2025-08-20
24,Trey McBride,Ari,TE,26.4,-0.2,2025-08-20
25,Chase Brown,Cin,RB,27.5,5.5,2025-08-20
26,Tee Higgins,Cin,WR,28.3,0.2,2025-08-20
27,Jayden Daniels,Wsh,QB,28.5,-0.6,2025-08-20
28,Jalen Hurts,Phi,QB,29.7,-0.1,2025-08-20
29,Tyreek Hill,Q,Mia,30.9,-0.6,2025-08-20
30,Ladd McConkey,LAC,WR,31.1,2.2,2025-08-20
31,Kyren Williams,LAR,RB,32.0,-3.2,2025-08-20
32,James Cook,Buf,RB,33.4,2.2,2025-08-20
33,Joe Burrow,Cin,QB,33.8,-0.1,2025-08-20
34,Davante Adams,LAR,WR,35.9,0.0,2025-08-20
35,George Kittle,SF,TE,36.2,-0.3,2025-08-20
36,Jaxon Smith-Njigba,Sea,WR,39.1,-0.3,2025-08-20
37,Terry McLaurin,Wsh,WR,42.1,5.6,2025-08-20
38,Kenneth Walker III,Sea,RB,42.8,0.5,2025-08-20
39,Alvin Kamara,NO,RB,43.1,0.9,2025-08-20
40,Omarion Hampton,LAC,RB,44.3,3.4,2025-08-20
41,Garrett Wilson,NYJ,WR,45.5,-1.0,2025-08-20
42,Mike Evans,TB,WR,46.4,0.5,2025-08-20
43,Chuba Hubbard,Car,RB,49.3,1.4,2025-08-20
44,Patrick Mahomes,KC,QB,49.8,1.2,2025-08-20
45,DK Metcalf,Pit,WR,50.7,-1.8,2025-08-20
46,Marvin Harrison Jr.,Ari,WR,50.8,-0.3,2025-08-20
47,Sam LaPorta,Det,TE,51.8,-3.6,2025-08-20
48,Xavier Worthy,KC,WR,52.6,5.1,2025-08-20
49,James Conner,Ari,RB,53.9,1.8,2025-08-20
50,TreVeyon Henderson,NE,RB,55.9,22.5,2025-08-20
51,Breece Hall,NYJ,RB,57.9,-3.7,2025-08-20
52,Baker Mayfield,TB,QB,58.7,1.5,2025-08-20
53,T.J. Hockenson,Min,TE,61.9,3.6,2025-08-20
54,DJ Moore,Chi,WR,61.9,0.6,2025-08-20
55,Zay Flowers,Bal,WR,62.8,1.1,2025-08-20
56,D'Andre Swift,Chi,RB,63.5,3.2,2025-08-20
57,Travis Kelce,KC,TE,64.2,1.1,2025-08-20
58,Rashee Rice,KC,WR,67.8,1.4,2025-08-20
59,Courtland Sutton,Den,WR,67.9,2.2,2025-08-20
60,David Montgomery,Det,RB,68.8,5.2,2025-08-20
61,DeVonta Smith,Q,Phi,70.7,1.1,2025-08-20
62,Calvin Ridley,Q,Ten,71.2,3.7,2025-08-20
63,George Pickens,Dal,WR,76.9,1.4,2025-08-20
64,Jaylen Waddle,Mia,WR,77.5,4.1,2025-08-20
65,Jerry Jeudy,Cle,WR,77.7,3.8,2025-08-20
66,Bo Nix,Den,QB,77.8,2.0,2025-08-20
67,Jameson Williams,Det,WR,78.1,2.4,2025-08-20
68,Travis Hunter,Q,Jax,78.9,-5.9,2025-08-20
69,Isiah Pacheco,KC,RB,79.0,9.8,2025-08-20
70,David Njoku,Cle,TE,79.9,1.4,2025-08-20
71,Aaron Jones Sr.,Min,RB,80.0,4.0,2025-08-20
72,Mark Andrews,Bal,TE,80.2,1.1,2025-08-20
73,Tetairoa McMillan,Q,Car,83.4,2.5,2025-08-20
74,Tony Pollard,Ten,RB,85.1,12.5,2025-08-20
75,RJ Harvey,Den,RB,87.9,7.6,2025-08-20
76,Rome Odunze,Chi,WR,88.9,3.0,2025-08-20
77,Kyler Murray,Ari,QB,90.9,2.5,2025-08-20
78,Evan Engram,Den,TE,91.4,2.5,2025-08-20
79,Cooper Kupp,Sea,WR,92.7,1.5,2025-08-20
80,Brock Purdy,SF,QB,93.0,3.0,2025-08-20
81,Jakobi Meyers,LV,WR,96.2,3.5,2025-08-20
82,Stefon Diggs,Q,NE,97.3,2.5,2025-08-20
83,Joe Mixon,O,Hou,97.7,-30.9,2025-08-20
84,Tyrone Tracy Jr.,NYG,RB,97.7,9.0,2025-08-20
85,Steelers D/ST,Pit,D/ST,98.3,-1.6,2025-08-20
86,Matthew Golden,GB,WR,98.6,3.0,2025-08-20
87,Chris Olave,NO,WR,101.2,2.8,2025-08-20
88,Texans D/ST,Hou,D/ST,101.7,-5.8,2025-08-20
89,Broncos D/ST,Den,D/ST,102.1,-2.9,2025-08-20
90,Chris Godwin,O,TB,102.2,0.8,2025-08-20
91,Jaylen Warren,Pit,RB,104.2,9.6,2025-08-20
92,Justin Herbert,LAC,QB,105.5,2.3,2025-08-20
93,Kaleb Johnson,Pit,RB,105.6,-11.9,2025-08-20
94,Jake Bates,Det,K,108.5,-2.7,2025-08-20
95,Brian Robinson Jr.,Wsh,RB,108.5,-2.5,2025-08-20
96,Deebo Samuel,Wsh,WR,108.6,2.3,2025-08-20
97,Tucker Kraft,GB,TE,111.1,1.1,2025-08-20
98,Quinshon Judkins,Cle,RB,111.8,36.4,2025-08-20
99,Jordan Addison,SSPD,Min,112.2,-0.2,2025-08-20
100,Brandon Aubrey,Dal,K,112.7,-3.4,2025-08-20
151,Tyler Bass,Q,Buf,152.3,-1.5,2025-08-20
152,Cam Little,Jax,K,153.6,6.0,2025-08-20
153,Adam Thielen,Car,WR,154.1,1.5,2025-08-20
154,Trey Benson,Ari,RB,156.0,1.9,2025-08-20
155,Nick Chubb,Hou,RB,157.1,8.5,2025-08-20
156,Hunter Henry,NE,TE,158.3,1.7,2025-08-20
157,Xavier Legette,Car,WR,158.9,0.8,2025-08-20
158,Jaydon Blue,Dal,RB,159.4,7.4,2025-08-20
159,Zach Ertz,Wsh,TE,159.9,0.6,2025-08-20
160,Brandon Aiyuk,O,SF,159.9,1.1,2025-08-20
161,Braelon Allen,NYJ,RB,161.6,5.4,2025-08-20
162,Tua Tagovailoa,Mia,QB,161.7,1.2,2025-08-20
163,Tyler Allgeier,Atl,RB,162.1,1.6,2025-08-20
164,Cedric Tillman,Q,Cle,162.3,2.0,2025-08-20
165,Cam Ward,Ten,QB,163.1,-0.7,2025-08-20
166,Jerome Ford,Cle,RB,163.2,-16.9,2025-08-20
167,Matthew Stafford,Q,LAR,163.5,0.2,2025-08-20
168,Najee Harris,O,LAC,164.1,-2.2,2025-08-20
169,Trevor Lawrence,Jax,QB,164.3,1.2,2025-08-20
170,Marvin Mims Jr.,Den,WR,164.4,0.4,2025-08-20
171,Hollywood Brown,Q,KC,164.5,0.7,2025-08-20
172,Jaylen Wright,Mia,RB,164.9,3.6,2025-08-20
173,Tyler Loop,Bal,K,165.4,-1.4,2025-08-20
174,Matt Gay,Wsh,K,165.5,-0.9,2025-08-20
175,Colts D/ST,Ind,D/ST,165.7,-1.5,2025-08-20
176,Jacory Croskey-Merritt,Wsh,RB,165.7,4.3,2025-08-20
177,Michael Penix Jr.,Atl,QB,166.3,0.2,2025-08-20
178,Ka'imi Fairbairn,Hou,K,166.4,-1.2,2025-08-20
179,Rashod Bateman,Bal,WR,166.5,0.0,2025-08-20
180,Chiefs D/ST,KC,D/ST,166.6,-1.0,2025-08-20
181,Cairo Santos,Chi,K,166.6,-1.3,2025-08-20
182,Giants D/ST,NYG,D/ST,166.7,-0.3,2025-08-20
183,49ers D/ST,SF,D/ST,166.8,-0.7,2025-08-20
184,Jonnu Smith,Q,Pit,166.9,-2.5,2025-08-20
185,Wan'Dale Robinson,NYG,WR,167.0,0.7,2025-08-20
186,Jets D/ST,NYJ,D/ST,167.2,-1.5,2025-08-20
187,Christian Kirk,Hou,WR,167.3,2.4,2025-08-20
188,Isaac Guerendo,SF,RB,167.4,0.4,2025-08-20
189,Luther Burden III,Chi,WR,167.4,-0.4,2025-08-20
190,Bryce Young,Car,QB,167.4,-0.7,2025-08-20
191,Chig Okonkwo,Ten,TE,167.5,0.1,2025-08-20
192,Evan McPherson,Cin,K,167.6,-0.8,2025-08-20
193,Younghoe Koo,Atl,K,167.8,-0.5,2025-08-20
194,Shedeur Sanders,Q,Cle,167.9,-1.3,2025-08-20
195,Aaron Rodgers,Pit,QB,168.3,-0.1,2025-08-20
196,Packers D/ST,GB,D/ST,168.3,-0.8,2025-08-20
197,Cowboys D/ST,Dal,D/ST,168.4,-0.6,2025-08-20
198,Pat Freiermuth,Pit,TE,168.4,-0.1,2025-08-20
199,Buccaneers D/ST,TB,D/ST,168.5,-0.8,2025-08-20
200,Isaiah Likely,Q,Bal,168.5,-0.7,2025-08-20
251,Blake Grupe,NO,K,169.8,0.0,2025-08-20
252,Jaguars D/ST,Jax,D/ST,169.8,-0.1,2025-08-20
253,Luke McCaffrey,Wsh,WR,169.8,0.0,2025-08-20
254,Anthony Richardson Sr.,Ind,QB,169.8,-0.3,2025-08-20
255,Tank Dell,O,Hou,169.8,-0.1,2025-08-20
256,Darnell Washington,Pit,TE,169.8,0.0,2025-08-20
257,Mike Gesicki,Q,Cin,169.8,-0.3,2025-08-20
258,Caden Davis,Buf,K,169.9,0.0,2025-08-20
259,Scott Matlock,LAC,"DT,",169.9,0.0,2025-08-20
260,Odell Beckham Jr.,FA,WR,169.9,0.0,2025-08-20
261,Deshaun Watson,O,Cle,169.9,-0.1,2025-08-20
262,Tyler Higbee,LAR,TE,169.9,-0.2,2025-08-20
263,Isaiah Bond,Cle,WR,169.9,0.0,2025-08-20
264,JuJu Smith-Schuster,KC,WR,169.9,0.0,2025-08-20
265,J.J. Taylor,FA,RB,169.9,0.0,2025-08-20
266,Luke Musgrave,GB,TE,169.9,0.0,2025-08-20
267,John Samuel Shenker,FA,TE,169.9,0.0,2025-08-20
268,Jordan Travis,Q,FA,169.9,-0.1,2025-08-20
269,Jameis Winston,NYG,QB,169.9,0.0,2025-08-20
270,Jimmy Horn Jr.,Car,WR,169.9,-0.1,2025-08-20
271,Tory Horton,Q,Sea,169.9,0.0,2025-08-20
272,Jake Bobo,Sea,WR,169.9,0.0,2025-08-20
273,Chad Ryland,Ari,K,169.9,0.0,2025-08-20
274,Matt Barkley,FA,QB,169.9,0.0,2025-08-20
275,Mason Crosby,FA,K,169.9,0.0,2025-08-20
276,Dolphins D/ST,Mia,D/ST,169.9,-0.1,2025-08-20
277,Troy Franklin,Den,WR,169.9,0.0,2025-08-20
278,Mitchell Evans,Car,TE,169.9,0.0,2025-08-20
279,DeWayne McBride,FA,RB,169.9,0.0,2025-08-20
280,Brock Wright,Det,TE,169.9,0.0,2025-08-20
281,Equanimeous St. Brown,Q,SF,169.9,0.0,2025-08-20
282,Mason Rudolph,Pit,QB,169.9,0.0,2025-08-20
283,Austin Hooper,NE,TE,169.9,0.0,2025-08-20
284,Joshua Dobbs,NE,QB,169.9,0.0,2025-08-20
285,Jude McAtamney,NYG,K,169.9,0.0,2025-08-20
286,Michael Pratt,O,TB,169.9,0.1,2025-08-20
287,Tim Patrick,Det,WR,169.9,0.0,2025-08-20
288,Elijah Moore,Buf,WR,169.9,0.0,2025-08-20
289,Roman Wilson,Pit,WR,169.9,0.0,2025-08-20
290,Tanner McKee,Q,Phi,169.9,0.0,2025-08-20
291,Joey Slye,Ten,K,169.9,0.0,2025-08-20
292,Ja'Tavion Sanders,Car,TE,169.9,-0.1,2025-08-20
293,Jimmy Garoppolo,LAR,QB,169.9,0.0,2025-08-20
294,Josh Oliver,Min,TE,169.9,0.0,2025-08-20
295,Braxton Berrios,Hou,WR,169.9,0.0,2025-08-20
296,Jalin Hyatt,NYG,WR,169.9,0.0,2025-08-20
297,Tommy DeVito,NYG,QB,169.9,0.0,2025-08-20
298,Harold Fannin Jr.,Cle,TE,169.9,0.0,2025-08-20
299,Julian Hill,Mia,TE,169.9,0.0,2025-08-20
300,Ezekiel Elliott,FA,RB,169.9,0.0,2025-08-20
351,Sam Howell,Min,QB,169.9,0.0,2025-08-20
352,Randy Bullock,FA,K,170.0,0.0,2025-08-20
353,John Metchie III,Phi,WR,170.0,0.0,2025-08-20
354,John Ross,Q,FA,170.0,0.0,2025-08-20
355,Curtis Samuel,Q,Buf,170.0,0.0,2025-08-20
356,Raheem Blackshear,Car,RB,170.0,0.0,2025-08-20
357,David Moore,Car,WR,170.0,0.0,2025-08-20
358,Julius Chestnut,Ten,RB,170.0,0.0,2025-08-20
359,Will Levis,IR,Ten,170.0,0.0,2025-08-20
360,Lil'Jordan Humphrey,NYG,WR,170.0,0.0,2025-08-20
361,Mitchell Tinsley,Cin,WR,170.0,0.0,2025-08-20
362,Tyler Conklin,LAC,TE,170.0,0.1,2025-08-20
363,Spencer Shrader,Ind,K,170.0,0.0,2025-08-20
364,Tai Felton,Min,WR,170.0,0.0,2025-08-20
365,Teddy Bridgewater,TB,QB,170.0,0.0,2025-08-20
366,Tylan Wallace,Bal,WR,170.0,0.0,2025-08-20
367,Zane Gonzalez,FA,K,170.0,0.0,2025-08-20
368,Terrance Ferguson,Q,LAR,170.0,-0.1,2025-08-20
369,Dallin Holker,FA,TE,170.0,0.0,2025-08-20
370,Derek Carr,Q,NO,170.0,0.0,2025-08-20
371,Michael Badgley,FA,K,170.0,0.0,2025-08-20
372,Julio Jones,FA,WR,170.0,0.0,2025-08-20
373,Greg Joseph,FA,K,170.0,0.0,2025-08-20
374,Patrick Ricard,Bal,RB,170.0,0.0,2025-08-20
375,Audric Estime,Den,RB,170.0,0.0,2025-08-20
376,Dontayvion Wicks,Q,GB,170.0,0.0,2025-08-20
377,Devontez Walker,Bal,WR,170.0,0.0,2025-08-20
378,Jermaine Jackson,FA,WR,170.0,0.0,2025-08-20
379,Ainias Smith,Phi,WR,170.0,0.0,2025-08-20
380,Adam Trautman,Den,TE,170.0,0.0,2025-08-20
381,Jeremy Ruckert,NYJ,TE,170.0,0.0,2025-08-20
382,John Bates,Wsh,TE,170.0,0.0,2025-08-20
383,Darrell Henderson Jr.,FA,RB,170.0,0.0,2025-08-20
384,Brett Maher,FA,K,170.0,0.0,2025-08-20
385,Trey Lance,LAC,QB,170.0,0.0,2025-08-20
386,Carson Wentz,FA,QB,170.0,0.0,2025-08-20
387,Kadarius Toney,FA,WR,170.0,0.0,2025-08-20
388,Demarcus Robinson,SSPD,SF,170.0,0.0,2025-08-20
389,Lucky Jackson,Min,WR,170.0,0.0,2025-08-20
390,Matt Prater,Q,FA,170.0,0.0,2025-08-20
391,Gavin Bartholomew,O,Min,170.0,0.0,2025-08-20
392,Deuce Vaughn,Dal,RB,170.0,0.0,2025-08-20
393,Drew Lock,Sea,QB,170.0,0.0,2025-08-20
394,Dameon Pierce,Hou,RB,170.0,0.0,2025-08-20
395,Spencer Rattler,NO,QB,170.0,0.0,2025-08-20
396,Jarrett Stidham,Den,QB,170.0,0.0,2025-08-20
397,Boston Scott,FA,RB,170.0,0.0,2025-08-20
398,Mo Alie-Cox,Ind,TE,170.0,0.0,2025-08-20
399,Tanner Brown,FA,K,170.0,0.0,2025-08-20
400,Oronde Gadsden II,LAC,TE,170.0,0.0,2025-08-20
451,Drew Sample,Q,Cin,170.0,0.0,2025-08-20
452,Patrick Taylor Jr.,IR,SF,170.0,0.0,2025-08-20
453,Brayden Narveson,FA,K,170.0,0.0,2025-08-20
454,Jalen Reagor,Q,LAC,170.0,0.0,2025-08-20
455,Sterling Shepard,TB,WR,170.0,0.0,2025-08-20
456,Chimere Dike,Ten,WR,170.0,0.0,2025-08-20
457,Tyquan Thornton,KC,WR,170.0,0.0,2025-08-20
458,Bailey Zappe,KC,QB,170.0,0.0,2025-08-20
459,Jaren Hall,FA,QB,170.0,0.0,2025-08-20
460,Travis Homer,Q,Chi,170.0,0.0,2025-08-20
461,Tyler Goodson,Q,Ind,170.0,0.0,2025-08-20
462,Avery Williams,Phi,RB,170.0,0.0,2025-08-20
463,Robbie Ouzts,Sea,RB,170.0,0.0,2025-08-20
464,Jared Wayne,FA,WR,170.0,0.0,2025-08-20
465,Trent Taylor,IR,SF,170.0,0.0,2025-08-20
466,Rasheen Ali,Bal,RB,170.0,0.0,2025-08-20
467,Jermaine Burton,Q,Cin,170.0,0.0,2025-08-20
468,Keith Kirkwood,Bal,WR,170.0,0.0,2025-08-20
