rank,player_name,team,position,adp,seven_day_change,date_scraped
97,J.K. Dobbins,Den,RB,106.0,3.9,2025-09-03
98,Kaleb Johnson,Pit,RB,107.9,-3.8,2025-09-03
99,Jake Bates,Det,K,112.0,0.7,2025-09-03
100,Dak Prescott,Dal,QB,112.3,-1.7,2025-09-03
151,Rachaad White,TB,RB,153.8,-4.5,2025-09-03
152,Braelon Allen,NYJ,RB,155.9,2.7,2025-09-03
153,Hunter Henry,NE,TE,156.2,0.8,2025-09-03
154,Patriots D/ST,NE,D/ST,156.4,-5.1,2025-09-03
155,Bills D/ST,Buf,D/ST,156.6,-4.4,2025-09-03
156,Zach Ertz,Wsh,TE,156.8,0.4,2025-09-03
157,Jaydon Blue,Dal,RB,157.0,0.2,2025-09-03
158,Najee Harris,LAC,RB,157.1,6.5,2025-09-03
159,Quinshon Judkins,FA,RB,158.3,-29.5,2025-09-03
160,Cedric Tillman,Cle,WR,158.4,4.6,2025-09-03
161,Packers D/ST,GB,D/ST,158.7,10.3,2025-09-03
162,Matthew Stafford,LAR,QB,159.4,1.6,2025-09-03
163,Hollywood Brown,KC,WR,159.5,4.4,2025-09-03
164,Tyler Allgeier,Atl,RB,159.9,0.5,2025-09-03
165,Marvin Mims Jr.,Q,Den,160.9,0.5,2025-09-03
166,Tua Tagovailoa,Mia,QB,161.3,-0.8,2025-09-03
167,Cam Little,Jax,K,162.0,-3.3,2025-09-03
168,Wan'Dale Robinson,NYG,WR,163.5,2.7,2025-09-03
169,Brian Robinson Jr.,SF,RB,163.6,-11.3,2025-09-03
170,Trevor Lawrence,Jax,QB,163.9,-0.9,2025-09-03
171,Ollie Gordon II,Mia,RB,164.0,5.4,2025-09-03
172,Brandon Aiyuk,O,SF,164.2,-4.7,2025-09-03
173,Rashod Bateman,Bal,WR,164.5,1.7,2025-09-03
174,Colts D/ST,Ind,D/ST,164.8,2.5,2025-09-03
175,Tyler Loop,Bal,K,165.1,1.4,2025-09-03
176,Cairo Santos,Chi,K,165.2,2.6,2025-09-03
177,Cam Ward,Ten,QB,165.2,-1.2,2025-09-03
178,Christian Kirk,Hou,WR,165.6,0.5,2025-09-03
179,Dylan Sampson,Cle,RB,166.3,4.0,2025-09-03
180,Adam Thielen,Min,WR,166.5,-14.4,2025-09-03
181,Michael Penix Jr.,Atl,QB,166.7,-0.6,2025-09-03
182,Matt Gay,Wsh,K,166.8,-0.3,2025-09-03
183,Amari Cooper,LV,WR,167.1,3.1,2025-09-03
184,Ka'imi Fairbairn,Hou,K,167.2,0.0,2025-09-03
185,49ers D/ST,SF,D/ST,167.5,-0.2,2025-09-03
186,Chiefs D/ST,KC,D/ST,167.6,-0.3,2025-09-03
187,Jonnu Smith,Pit,TE,167.8,-1.0,2025-09-03
188,Ray Davis,Buf,RB,168.1,0.4,2025-09-03
189,Darren Waller,Q,Mia,168.1,-1.7,2025-09-03
190,Aaron Rodgers,Pit,QB,168.4,-0.1,2025-09-03
191,Buccaneers D/ST,TB,D/ST,168.6,0.6,2025-09-03
192,Bryce Young,Car,QB,168.6,-0.5,2025-09-03
193,Brenton Strange,Jax,TE,168.6,0.8,2025-09-03
194,Younghoe Koo,Atl,K,168.7,-0.4,2025-09-03
195,Cardinals D/ST,Ari,D/ST,168.8,0.7,2025-09-03
196,Pat Freiermuth,Pit,TE,169.0,-0.2,2025-09-03
197,Giants D/ST,NYG,D/ST,169.1,-0.9,2025-09-03
198,DeMario Douglas,NE,WR,169.1,1.1,2025-09-03
199,Evan McPherson,Cin,K,169.1,-0.9,2025-09-03
200,Jets D/ST,NYJ,D/ST,169.1,-0.5,2025-09-03
251,Joe Flacco,Cle,QB,169.9,0.0,2025-09-03
252,Darius Cooper,Phi,WR,169.9,0.0,2025-09-03
253,Andy Borregales,NE,K,169.9,0.0,2025-09-03
254,Andre Szmyt,Cle,K,169.9,0.0,2025-09-03
255,Zack Moss,Q,FA,169.9,0.0,2025-09-03
256,Kyle McCord,FA,QB,169.9,0.1,2025-09-03
257,Braxton Berrios,Q,Hou,169.9,0.0,2025-09-03
258,JuJu Smith-Schuster,KC,WR,169.9,0.0,2025-09-03
259,Terrance Ferguson,LAR,TE,169.9,0.0,2025-09-03
260,Chargers D/ST,LAC,D/ST,169.9,-0.1,2025-09-03
261,Jason Sanders,IR,Mia,169.9,-15.0,2025-09-03
262,Odell Beckham Jr.,FA,WR,169.9,0.0,2025-09-03
263,Beaux Collins,NYG,WR,169.9,0.0,2025-09-03
264,Jahdae Walker,Chi,WR,169.9,0.0,2025-09-03
265,Harold Fannin Jr.,Cle,TE,169.9,0.0,2025-09-03
266,Mitchell Evans,Car,TE,169.9,0.0,2025-09-03
267,Dominique Dafney,FA,TE,169.9,0.1,2025-09-03
268,Kareem Hunt,KC,RB,169.9,0.1,2025-09-03
269,Mason Crosby,FA,K,169.9,0.0,2025-09-03
270,Joey Slye,Ten,K,169.9,0.0,2025-09-03
271,Deshaun Watson,O,Cle,169.9,0.0,2025-09-03
272,Jameis Winston,NYG,QB,169.9,0.0,2025-09-03
273,Elijah Moore,Buf,WR,169.9,0.0,2025-09-03
274,Darnell Washington,Pit,TE,169.9,0.0,2025-09-03
275,Caden Davis,FA,K,169.9,0.0,2025-09-03
276,Antonio Gibson,NE,RB,169.9,0.1,2025-09-03
277,Ty Chandler,Min,RB,169.9,0.0,2025-09-03
278,Tommy DeVito,NE,QB,169.9,0.0,2025-09-03
279,Brock Wright,Det,TE,169.9,0.0,2025-09-03
280,KeAndre Lambert-Smith,LAC,WR,169.9,0.0,2025-09-03
281,Khalil Herbert,FA,RB,169.9,0.0,2025-09-03
282,Equanimeous St. Brown,Q,FA,169.9,0.0,2025-09-03
283,Dalvin Cook,FA,RB,169.9,0.0,2025-09-03
284,Dustin Hopkins,FA,K,169.9,-0.1,2025-09-03
285,Hunter Renfrow,Car,WR,170.0,-0.1,2025-09-03
286,Ezekiel Elliott,FA,RB,170.0,0.0,2025-09-03
287,Jimmy Horn Jr.,Car,WR,170.0,0.0,2025-09-03
288,Grant Calcaterra,Phi,TE,170.0,0.0,2025-09-03
289,Jake Bobo,Q,Sea,170.0,0.0,2025-09-03
290,Carson Wentz,Min,QB,170.0,0.0,2025-09-03
291,Josh Oliver,Min,TE,170.0,0.0,2025-09-03
292,Austin Hooper,NE,TE,170.0,0.0,2025-09-03
293,Julian Hill,Mia,TE,170.0,0.0,2025-09-03
294,Jude McAtamney,FA,K,170.0,0.0,2025-09-03
295,Cam Miller,FA,QB,170.0,0.0,2025-09-03
296,Mitchell Tinsley,Cin,WR,170.0,0.0,2025-09-03
297,John Bates,Wsh,TE,170.0,0.0,2025-09-03
298,Darrell Henderson Jr.,FA,RB,170.0,0.0,2025-09-03
299,Tez Johnson,TB,WR,170.0,0.0,2025-09-03
300,Ja'Corey Brooks,FA,WR,170.0,0.0,2025-09-03
351,Luke Farrell,SF,TE,170.0,0.0,2025-09-03
352,Greg Joseph,FA,K,170.0,0.0,2025-09-03
353,Diontae Johnson,FA,WR,170.0,1.2,2025-09-03
354,Matt Prater,Q,FA,170.0,0.0,2025-09-03
355,Olamide Zaccheaus,Chi,WR,170.0,0.0,2025-09-03
356,Derek Carr,Q,NO,170.0,0.0,2025-09-03
357,Parker Romo,FA,K,170.0,0.0,2025-09-03
358,Riley Patterson,FA,K,170.0,0.0,2025-09-03
359,Ja'Tavion Sanders,Car,TE,170.0,0.0,2025-09-03
360,Will Howard,IR,Pit,170.0,0.0,2025-09-03
361,Mack Hollins,NE,WR,170.0,0.0,2025-09-03
362,Tyler Badie,Den,RB,170.0,0.0,2025-09-03
363,Brandon Allen,Ten,QB,170.0,0.0,2025-09-03
364,Jordan Travis,Q,FA,170.0,-0.1,2025-09-03
365,Xavier Restrepo,FA,WR,170.0,0.0,2025-09-03
366,Charlie Jones,Cin,WR,170.0,0.0,2025-09-03
367,Frank Gore Jr.,FA,RB,170.0,0.0,2025-09-03
368,Dontayvion Wicks,Q,GB,170.0,0.0,2025-09-03
369,Julio Jones,FA,WR,170.0,0.0,2025-09-03
370,Nikko Remigio,KC,WR,170.0,0.0,2025-09-03
371,Devontez Walker,Bal,WR,170.0,0.0,2025-09-03
372,Michael Pratt,Q,FA,170.0,0.0,2025-09-03
373,Tyrell Shavers,Buf,WR,170.0,0.0,2025-09-03
374,Derius Davis,LAC,WR,170.0,0.0,2025-09-03
375,Riley Leonard,Ind,QB,170.0,0.0,2025-09-03
376,Mac Jones,Q,SF,170.0,0.0,2025-09-03
377,Brycen Tremayne,Car,WR,170.0,0.0,2025-09-03
378,Connor Heyward,Pit,TE,170.0,0.0,2025-09-03
379,Zach Wilson,Mia,QB,170.0,0.0,2025-09-03
380,Mo Alie-Cox,Ind,TE,170.0,0.0,2025-09-03
381,Damien Martinez,FA,RB,170.0,0.0,2025-09-03
382,Kylen Granson,Phi,TE,170.0,0.0,2025-09-03
383,Michael Thomas,FA,WR,170.0,0.0,2025-09-03
384,Jarrett Stidham,Den,QB,170.0,0.0,2025-09-03
385,Kadarius Toney,FA,WR,170.0,0.0,2025-09-03
386,Zane Gonzalez,FA,K,170.0,0.0,2025-09-03
387,Jake Funk,FA,RB,170.0,0.0,2025-09-03
388,Jaylin Lane,Wsh,WR,170.0,0.0,2025-09-03
389,Alexander Mattison,IR,Mia,170.0,0.0,2025-09-03
390,C.J. Ham,IR,Min,170.0,0.0,2025-09-03
391,Randy Bullock,FA,K,170.0,0.0,2025-09-03
392,Anthony Brown Jr.,FA,QB,170.0,0.0,2025-09-03
393,Sam Howell,Phi,QB,170.0,0.0,2025-09-03
394,Joshua Cephus,IR,Jax,170.0,0.0,2025-09-03
395,Luke Lachey,FA,TE,170.0,0.0,2025-09-03
396,Jordan James,Q,SF,170.0,0.1,2025-09-03
397,Ben DiNucci,FA,QB,170.0,0.0,2025-09-03
398,Jared Wiley,KC,TE,170.0,0.0,2025-09-03
399,Savion Williams,Q,GB,170.0,0.0,2025-09-03
400,Bryce Ford-Wheaton,IR,NYG,170.0,0.0,2025-09-03
451,Dylan Laube,LV,RB,170.0,0.0,2025-09-03
452,Sterling Shepard,TB,WR,170.0,0.0,2025-09-03
453,Matthew Wright,FA,K,170.0,0.0,2025-09-03
454,John Samuel Shenker,FA,TE,170.0,-0.1,2025-09-03
455,Cade York,FA,K,170.0,0.0,2025-09-03
456,Gary Brightwell,FA,RB,170.0,0.0,2025-09-03
457,Mike Williams,O,LAC,170.0,0.0,2025-09-03
