rank,player_name,team,position,adp,avg_round,date_scraped
42,Mike Evans,TB,46.4,0.5,17.5,2025-08-20
43,Chuba Hubbard,Car,49.3,1.4,17.3,2025-08-20
44,Patrick Mahomes,KC,49.8,1.2,12.3,2025-08-20
45,DK Metcalf,Pit,50.7,-1.8,13.9,2025-08-20
46,Marvin Harrison Jr.,Ari,50.8,-0.3,15.8,2025-08-20
47,Sam LaPorta,Det,51.8,-3.7,9.7,2025-08-20
48,Xavier Worthy,KC,52.6,5.1,12.9,2025-08-20
49,James Conner,Ari,53.9,1.8,16.2,2025-08-20
50,TreVeyon Henderson,NE,55.9,22.5,16.0,2025-08-20
51,Breece Hall,NYJ,57.9,-3.6,14.0,2025-08-20
52,Baker Mayfield,TB,58.7,1.5,9.0,2025-08-20
53,T.J. Hockenson,Min,61.9,3.6,6.6,2025-08-20
54,DJ Moore,Chi,61.9,0.6,10.6,2025-08-20
55,Zay Flowers,Bal,62.8,1.1,9.7,2025-08-20
56,D'Andre Swift,Chi,63.5,3.2,10.6,2025-08-20
57,Travis Kelce,KC,64.2,1.1,6.9,2025-08-20
58,Rashee Rice,KC,67.8,1.4,9.7,2025-08-20
59,Courtland Sutton,Den,67.9,2.2,9.7,2025-08-20
60,David Montgomery,Det,68.8,5.2,7.9,2025-08-20
61,DeVonta Smith,Phi,70.7,1.1,8.8,2025-08-20
62,Calvin Ridley,Ten,71.1,3.7,8.8,2025-08-20
63,George Pickens,Dal,76.9,1.4,7.8,2025-08-20
64,Jaylen Waddle,Mia,77.5,4.1,7.3,2025-08-20
65,Jerry Jeudy,Cle,77.7,3.8,6.3,2025-08-20
66,Bo Nix,Den,77.8,2.1,5.7,2025-08-20
67,Jameson Williams,Det,78.1,2.4,7.4,2025-08-20
68,Travis Hunter,Jax,78.9,-5.9,6.9,2025-08-20
69,Isiah Pacheco,KC,79.0,9.8,7.2,2025-08-20
70,David Njoku,Cle,79.9,1.4,3.6,2025-08-20
71,Aaron Jones Sr.,Min,80.0,4.0,6.5,2025-08-20
72,Mark Andrews,Bal,80.2,1.1,4.2,2025-08-20
73,Tetairoa McMillan,Car,83.4,2.5,6.5,2025-08-20
74,Tony Pollard,Ten,85.1,12.5,5.9,2025-08-20
75,RJ Harvey,Den,87.9,7.6,6.8,2025-08-20
76,Rome Odunze,Chi,88.9,3.0,5.1,2025-08-20
77,Kyler Murray,Ari,90.9,2.5,4.2,2025-08-20
78,Evan Engram,Den,91.4,2.5,3.4,2025-08-20
79,Cooper Kupp,Sea,92.7,1.5,4.3,2025-08-20
80,Brock Purdy,SF,92.9,3.0,3.6,2025-08-20
81,Jakobi Meyers,LV,96.2,3.5,3.8,2025-08-20
82,Stefon Diggs,NE,97.3,2.5,3.8,2025-08-20
83,Joe Mixon,Hou,97.6,-30.8,5.0,2025-08-20
84,Tyrone Tracy Jr.,NYG,97.7,9.0,3.9,2025-08-20
85,Steelers D/ST,Pit,98.3,-1.6,2.7,2025-08-20
86,Matthew Golden,GB,98.6,3.0,3.7,2025-08-20
87,Chris Olave,NO,101.2,2.8,3.3,2025-08-20
88,Texans D/ST,Hou,101.7,-5.8,2.2,2025-08-20
89,Broncos D/ST,Den,102.1,-2.9,3.0,2025-08-20
90,Chris Godwin,TB,102.1,0.8,3.4,2025-08-20
91,Jaylen Warren,Pit,104.2,9.6,2.7,2025-08-20
92,Justin Herbert,LAC,105.5,2.3,2.8,2025-08-20
93,Kaleb Johnson,Pit,105.6,-11.9,3.9,2025-08-20
94,Brian Robinson Jr.,Wsh,108.4,-2.4,3.1,2025-08-20
95,Jake Bates,Det,108.5,-2.7,2.0,2025-08-20
96,Deebo Samuel,Wsh,108.6,2.4,3.0,2025-08-20
97,Tucker Kraft,GB,111.1,1.2,1.9,2025-08-20
98,Quinshon Judkins,Cle,111.8,36.3,2.8,2025-08-20
99,Jordan Addison,Min,112.1,-0.1,2.7,2025-08-20
100,Brandon Aubrey,Dal,112.6,-3.4,2.4,2025-08-20
151,Tyler Bass,Buf,152.3,-1.5,0.9,2025-08-20
152,Cam Little,Jax,153.6,6.0,0.7,2025-08-20
153,Adam Thielen,Car,154.1,1.5,0.6,2025-08-20
154,Trey Benson,Ari,156.0,1.9,0.9,2025-08-20
155,Nick Chubb,Hou,157.1,8.5,0.8,2025-08-20
156,Hunter Henry,NE,158.3,1.7,0.4,2025-08-20
157,Xavier Legette,Car,158.9,0.8,0.5,2025-08-20
158,Jaydon Blue,Dal,159.4,7.4,0.8,2025-08-20
159,Zach Ertz,Wsh,159.9,0.6,0.3,2025-08-20
160,Brandon Aiyuk,SF,159.9,1.1,0.5,2025-08-20
161,Braelon Allen,NYJ,161.6,5.4,0.6,2025-08-20
162,Tua Tagovailoa,Mia,161.7,1.2,0.7,2025-08-20
163,Tyler Allgeier,Atl,162.1,1.6,0.7,2025-08-20
164,Cedric Tillman,Cle,162.3,2.1,0.4,2025-08-20
165,Cam Ward,Ten,163.0,-0.6,0.5,2025-08-20
166,Jerome Ford,Cle,163.2,-16.9,0.5,2025-08-20
167,Matthew Stafford,LAR,163.5,0.3,0.5,2025-08-20
168,Najee Harris,LAC,164.1,-2.2,0.4,2025-08-20
